BDD
L 25
T 8
N 34382
R 1
S 1
; level 1
n 3
0 0	2 0	; 8
0 0	1 0	; 9
1 0	2 0	; 10
; level 2
n 4
0 0	9 0	; 11
0 0	8 0	; 12
0 0	1 0	; 13
0 0	10 0	; 14
; level 3
n 9
0 0	11 1	; 15
0 0	12 1	; 16
0 0	13 1	; 17
0 0	14 1	; 18
11 1	12 1	; 19
11 1	13 1	; 20
11 1	14 1	; 21
12 1	14 1	; 22
13 1	14 1	; 23
; level 4
n 44
0 0	15 1	; 24
0 0	16 1	; 25
0 0	17 1	; 26
0 0	18 1	; 27
11 1	15 1	; 28
12 1	16 1	; 29
16 1	19 1	; 30
15 1	17 0	; 31
15 1	17 1	; 32
13 1	17 1	; 33
0 0	20 0	; 34
15 1	20 0	; 35
15 1	21 0	; 36
15 1	18 1	; 37
16 1	22 0	; 38
16 1	18 1	; 39
15 0	15 1	; 40
0 0	11 1	; 41
17 1	18 1	; 42
17 0	17 1	; 43
0 0	13 1	; 44
14 1	18 1	; 45
18 1	23 1	; 46
16 0	16 1	; 47
0 0	17 0	; 48
18 0	18 1	; 49
13 1	18 1	; 50
17 0	18 1	; 51
15 1	19 0	; 52
0 0	14 1	; 53
0 0	23 1	; 54
11 1	16 1	; 55
15 0	16 1	; 56
0 0	12 1	; 57
0 0	19 1	; 58
15 1	19 1	; 59
0 0	15 0	; 60
15 1	16 1	; 61
17 1	23 0	; 62
17 1	23 1	; 63
11 1	17 1	; 64
15 0	17 1	; 65
11 1	18 1	; 66
12 1	18 1	; 67
; level 5
n 54
0 0	24 1	; 68
0 0	25 1	; 69
0 0	26 1	; 70
0 0	27 1	; 71
0 0	15 1	; 72
0 0	28 0	; 73
0 0	16 1	; 74
0 0	29 0	; 75
0 0	30 1	; 76
0 0	31 1	; 77
0 0	32 0	; 78
0 0	17 1	; 79
0 0	33 0	; 80
0 0	34 1	; 81
0 0	35 1	; 82
0 0	26 0	; 83
0 0	36 1	; 84
0 0	37 0	; 85
0 0	38 1	; 86
0 0	39 0	; 87
0 0	40 0	; 88
0 0	41 1	; 89
0 0	42 0	; 90
0 0	43 0	; 91
0 0	44 1	; 92
0 0	18 1	; 93
0 0	45 0	; 94
0 0	46 1	; 95
0 0	24 0	; 96
0 0	25 0	; 97
0 0	47 0	; 98
0 0	48 1	; 99
0 0	49 0	; 100
0 0	50 0	; 101
0 0	27 0	; 102
0 0	51 0	; 103
0 0	52 1	; 104
0 0	53 1	; 105
0 0	54 1	; 106
0 0	55 0	; 107
0 0	56 0	; 108
0 0	57 1	; 109
0 0	58 1	; 110
