EVBDD
L 25
T 2
N 32630
R 1
S 1
; level 1
n 2
0 0 0	1 0 0	; 2
1 0 0	1 1 0	; 3
; level 2
n 3
0 0 0	2 0 0	; 4
0 0 0	1 0 0	; 5
0 0 0	3 0 0	; 6
; level 3
n 6
0 0 0	4 0 1	; 7
0 0 0	5 0 1	; 8
0 0 0	6 0 1	; 9
4 0 1	4 1 1	; 10
5 0 1	6 0 1	; 11
4 0 1	5 0 1	; 12
; level 4
n 27
0 0 0	7 0 1	; 13
0 0 0	8 0 1	; 14
0 0 0	9 0 1	; 15
4 0 1	7 0 1	; 16
5 0 1	8 0 1	; 17
7 1 1	10 0 1	; 18
8 0 0	8 0 1	; 19
0 0 0	5 0 1	; 20
6 0 1	9 0 1	; 21
9 0 1	11 0 1	; 22
7 0 0	7 0 1	; 23
0 0 0	8 0 0	; 24
9 0 0	9 0 1	; 25
8 0 0	9 0 1	; 26
0 0 0	4 0 1	; 27
0 0 0	6 0 1	; 28
7 0 0	7 1 1	; 29
0 0 0	11 0 1	; 30
7 0 1	10 0 1	; 31
7 0 1	7 1 1	; 32
0 0 0	7 0 0	; 33
0 0 0	10 0 1	; 34
8 0 1	11 0 0	; 35
7 0 1	8 0 1	; 36
8 0 1	9 0 1	; 37
8 0 1	11 0 1	; 38
0 0 0	12 0 0	; 39
; level 5
n 34
0 0 0	13 0 1	; 40
0 0 0	14 0 1	; 41
0 0 0	15 0 1	; 42
0 0 0	7 0 1	; 43
0 0 0	16 0 0	; 44
0 0 0	8 0 1	; 45
0 0 0	17 0 0	; 46
0 0 0	18 0 1	; 47
0 0 0	19 0 0	; 48
0 0 0	20 0 1	; 49
0 0 0	14 0 0	; 50
0 0 0	21 0 0	; 51
0 0 0	9 0 1	; 52
0 0 0	22 0 1	; 53
0 0 0	13 0 0	; 54
0 0 0	23 0 0	; 55
0 0 0	24 0 1	; 56
0 0 0	25 0 0	; 57
0 0 0	15 0 0	; 58
0 0 0	26 0 0	; 59
0 0 0	27 0 1	; 60
0 0 0	28 0 1	; 61
0 0 0	29 0 0	; 62
0 0 0	30 0 1	; 63
0 0 0	31 0 1	; 64
0 0 0	32 0 1	; 65
0 0 0	33 0 1	; 66
0 0 0	34 0 1	; 67
0 0 0	35 0 1	; 68
0 0 0	36 0 0	; 69
0 0 0	37 0 1	; 70
0 0 0	37 0 0	; 71
0 0 0	38 0 1	; 72
0 0 0	39 0 1	; 73
; level 6
n 120
0 0 0	40 0 1	; 74
0 0 0	41 0 1	; 75
0 0 0	42 0 1	; 76
41 0 1	42 0 1	; 77
40 0 1	41 0 1	; 78
40 0 1	40 1 1	; 79
0 0 0	43 0 1	; 80
40 0 1	44 0 1	; 81
0 0 0	45 0 1	; 82
41 0 1	46 0 1	; 83
0 0 0	44 0 1	; 84
43 0 1	44 0 1	; 85
43 1 1	47 0 1	; 86
0 0 0	48 0 1	; 87
45 0 1	46 0 1	; 88
0 0 0	49 0 1	; 89
0 0 0	46 0 1	; 90
46 0 1	50 0 1	; 91
0 0 0	51 0 1	; 92
51 0 1	52 0 1	; 93
45 0 1	48 0 1	; 94
45 0 1	49 0 1	; 95
0 0 0	52 0 1	; 96
42 0 1	51 0 1	; 97
0 0 0	53 0 1	; 98
52 0 1	53 0 1	; 99
41 0 1	48 0 1	; 100
41 0 1	49 0 1	; 101
42 0 1	53 0 1	; 102
41 0 1	45 0 1	; 103
0 0 0	54 0 1	; 104
0 0 0	50 0 1	; 105
40 0 1	55 0 1	; 106
41 0 1	50 0 1	; 107
41 0 1	56 0 1	; 108
42 0 1	57 0 1	; 109
0 0 0	58 0 1	; 110
42 0 1	59 0 1	; 111
40 0 1	43 0 1	; 112
42 0 1	52 0 1	; 113
40 0 1	60 0 1	; 114
42 0 1	61 0 1	; 115
44 0 1	54 0 1	; 116
43 0 1	55 0 1	; 117
43 0 1	60 0 1	; 118
40 1 1	47 0 1	; 119
47 0 1	54 1 1	; 120
51 0 1	58 0 1	; 121
48 0 1	50 0 1	; 122
45 0 1	50 0 1	; 123
49 0 1	50 0 1	; 124
53 0 1	58 0 1	; 125
43 1 1	62 0 1	; 126
52 0 1	57 0 1	; 127
45 0 1	56 0 1	; 128
52 0 1	59 0 1	; 129
43 0 1	54 0 1	; 130
52 0 1	61 0 1	; 131
52 0 1	63 0 1	; 132
40 0 1	43 1 1	; 133
0 0 0	64 0 1	; 134
41 0 1	52 0 1	; 135
40 1 1	64 0 1	; 136
42 0 1	46 0 1	; 137
40 0 1	54 0 1	; 138
42 0 1	48 0 1	; 139
40 1 1	65 0 1	; 140
42 0 1	45 0 1	; 141
0 0 0	60 0 1	; 142
40 0 1	66 0 1	; 143
40 1 1	67 0 1	; 144
40 1 1	60 0 1	; 145
41 0 1	68 0 1	; 146
40 1 1	44 0 1	; 147
40 0 1	54 1 1	; 148
42 0 1	58 0 1	; 149
52 0 1	58 0 1	; 150
0 0 0	69 0 1	; 151
0 0 0	70 0 1	; 152
42 0 1	70 0 1	; 153
40 1 1	43 0 1	; 154
40 0 1	69 0 1	; 155
40 1 1	54 0 1	; 156
41 0 1	71 0 1	; 157
0 0 0	71 0 1	; 158
43 1 1	65 0 1	; 159
0 0 0	72 0 1	; 160
52 0 1	70 0 1	; 161
0 0 0	47 0 1	; 162
42 0 1	72 0 1	; 163
40 1 1	62 0 1	; 164
42 0 1	63 0 1	; 165
54 1 1	65 0 1	; 166
58 0 1	70 0 1	; 167
50 0 1	52 0 1	; 168
0 0 0	73 0 1	; 169
40 0 1	48 0 1	; 170
40 0 1	73 0 1	; 171
40 0 1	56 0 1	; 172
40 0 1	50 0 1	; 173
0 0 0	65 0 1	; 174
43 0 1	50 0 1	; 175
50 0 1	54 0 1	; 176
42 0 1	50 0 1	; 177
45 0 1	71 0 1	; 178
45 0 1	52 0 1	; 179
43 0 1	43 1 1	; 180
45 0 1	58 0 1	; 181
41 0 1	58 0 1	; 182
52 0 1	72 0 1	; 183
43 1 1	64 0 1	; 184
58 0 1	72 0 1	; 185
43 0 1	48 0 1	; 186
43 0 1	73 0 1	; 187
48 0 1	54 0 1	; 188
54 0 1	73 0 1	; 189
43 0 1	56 0 1	; 190
45 0 1	68 0 1	; 191
43 1 1	67 0 1	; 192
43 1 1	54 0 1	; 193
; level 7
n 589
40 0 1	74 0 0	; 194
41 0 1	75 0 0	; 195
0 0 0	41 0 1	; 196
42 0 1	76 0 0	; 197
